dim,rows,mode,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
4,16384,hadamard,bf16,1.0,True,2,0.002960800006985664,0.002136800065636635,0.0011223999783396721,0.002136800065636635,47.472859235182305
4,16384,hadamard_int4,fp16,1.0,True,2,0.0032719001173973083,0.0031647998839616776,0.0013103250414133072,0.0031647998839616776,58.59690693071404
1,4097,hadamard,bf16,1.0,True,2,0.0015119999647140504,0.0012943999841809272,0.0008696000091731549,0.0012943999841809272,32.818292660639834
2,1,hadamard_int4,fp16,1.0,True,2,0.0011095999740064143,0.001107999961823225,0.0010375999845564365,0.001107999961823225,6.353788780907954
16,4095,hadamard,bf16,1.0,False,2,0.0015544000081717968,0.0013360000215470792,0.0015552000142633915,0.0015544000081717968,-0.05146719553454915
4,4095,hadamard,fp16,1.0,False,2,0.0015263999812304974,0.0013063999824225903,0.0015255999751389027,0.0015263999812304974,0.052411301194443816
16,4097,hadamard,bf16,1.0,True,2,0.0015559249557554721,0.0013327999971807004,0.001154400035738945,0.0013327999971807004,13.385351276945412
4,16384,hadamard_int4,bf16,1.0,True,2,0.0032728001475334167,0.0031656000763177873,0.001328799966722727,0.0031656000763177873,58.0237574334285
2,4096,hadamard,fp16,1.0,True,2,0.0015239500440657138,0.0012951999902725219,0.000892799999564886,0.0012951999902725219,31.068560355915942
8,4097,hadamard,bf16,1.0,True,2,0.0015479999594390393,0.001347924955189228,0.0010463500395417214,0.001347924955189228,22.37327193079308
8,65,hadamard_int4,bf16,1.0,True,2,0.001155999954789877,0.0011615999974310398,0.0010631750337779522,0.001155999954789877,8.029837771818704
8,63,hadamard_int4,fp16,1.0,False,2,0.001140000019222498,0.0011552000418305398,0.0011408000253140926,0.001140000019222498,-0.07017597176359747
2,16384,hadamard_int4,fp16,1.0,True,2,0.0032767999917268755,0.00313120000064373,0.0011744000017642974,0.00313120000064373,62.49361262382289
4,255,hadamard_int4,bf16,1.0,False,2,0.0011743250302970409,0.0011479999870061875,0.001172799989581108,0.0011743250302970409,0.12986529934962965
2,4096,hadamard,bf16,1.0,True,2,0.0015224000439047814,0.0013079999946057797,0.0008936000056564807,0.0013079999946057797,31.681956472346595
256,17,hadamard,fp16,1.0,False,2,0.0010304000228643418,0.0011912000365555287,0.0010304000228643418,0.0010304000228643418,0.0
2,2,hadamard_int4,fp16,1.0,True,2,0.001107999961823225,0.0011056000366806984,0.0010359999723732471,0.0011056000366806984,6.295229920252976
4,257,hadamard_int4,bf16,1.0,True,2,0.0012008000165224075,0.0011504000052809716,0.0010623999871313572,0.0011504000052809716,7.649514755358622
16,4095,hadamard,fp16,1.0,False,2,0.0015536000020802021,0.0013326750136911868,0.0015544000081717968,0.0015536000020802021,-0.05149369789672065
16,16384,hadamard,bf16,1.0,True,2,0.0029896000400185586,0.0022328000515699385,0.001627100072801113,0.0022328000515699385,27.127372123757453
2,1,hadamard_int4,bf16,1.0,True,2,0.0011095999740064143,0.0011056000366806984,0.0010383999906480312,0.0011056000366806984,6.078151574091784
8,65,hadamard_int4,fp16,1.0,True,2,0.001154400035738945,0.0011743750423192979,0.0010552000254392623,0.001154400035738945,8.593209219383258
4,4097,hadamard,fp16,1.0,True,2,0.001527199987322092,0.0013088000006973744,0.000963125005364418,0.0013088000006973744,26.411598040095395
1,4096,hadamard,fp16,1.0,True,2,0.0015104000456631183,0.0012872000224888325,0.0008791999891400338,0.0012872000224888325,31.696708065613667
16,65,hadamard_int4,fp16,1.0,False,2,0.0011479999870061875,0.0011591999791562557,0.0011471999809145928,0.0011479999870061875,0.06968694256530572
4,4096,hadamard_int4,bf16,1.0,True,2,0.0017920000478625297,0.0016231000423431396,0.0011296000331640244,0.0016231000423431396,30.404780747013525
8,16384,hadamard,fp16,1.0,True,2,0.002975974977016449,0.0021888000890612604,0.0013199999928474426,0.0021888000890612604,39.69298523678475
