dtype,M,N,method,round,category,block_dim,off_median_ms,on_median_ms,off_over_on_ratio,latency_reduction_pct,improvement_ge5pct,regression_ge5pct
fp16,17,128,quant_only,2,control,32,0.011915999651,0.0120039999485,0.992669085481711,-0.7385053715792516,False,False
fp16,17,256,scalar_transform,2,control,32,0.0388480007648,0.0381359994411,1.0186700580589128,1.832787555814564,False,False
fp16,17,256,vector_transform,2,vector_path,32,0.0334760010242,0.0275400012732,1.2155410122212487,17.732105297490083,True,False
fp16,17,256,scalar_split,2,control,32,0.0570240020752,0.0565439999104,1.0084890026450306,0.8417546074142617,False,False
fp16,17,256,vector_split,2,vector_path,32,0.0518159985542,0.0459679991007,1.127218925511399,11.286088499062584,True,False
fp16,17,256,scalar_fused,2,control,32,0.0498199999332,0.049472001195,1.007034256342862,0.6985121209687061,False,False
fp16,17,256,vector_fused,2,vector_path,32,0.0460440009832,0.0403880000114,1.14004162053589,12.283904202555505,True,False
fp16,17,256,quant_only,2,control,32,0.0189079999924,0.0188639998436,1.0023324930642918,0.2327065200850682,False,False
fp16,257,16,scalar_transform,2,control,32,0.0189319998026,0.0185800001025,1.0189450860149691,1.8592843004977009,False,False
fp16,257,16,vector_transform,2,vector_path,32,0.0153880000114,0.0121760003269,1.2637976016971555,20.873405784510215,True,False
fp16,257,16,scalar_split,2,control,32,0.0342759996653,0.0344639986753,0.9945450610136328,-0.5484858555134327,False,False
fp16,257,16,vector_split,2,vector_path,32,0.0311239987612,0.028248000145,1.1018124681902148,9.24045344644241,True,False
fp16,257,16,scalar_fused,2,control,32,0.0260159999132,0.0258120000362,1.0079032960140206,0.7841323711586221,False,False
fp16,257,16,vector_fused,2,vector_path,32,0.0228080004454,0.0201959997416,1.129332577600492,11.452124924553825,True,False
fp16,257,16,quant_only,2,control,32,0.0161880001426,0.0164039999247,0.9868324931058575,-1.3343203619796142,False,False
fp16,257,64,scalar_transform,2,control,32,0.0663640022278,0.0651600003242,1.0184776227380228,1.8142394418395276,False,False
fp16,257,64,vector_transform,2,vector_path,32,0.030096000433,0.0177520006895,1.6953582280334893,41.01541588883323,True,False
fp16,257,64,scalar_split,2,control,32,0.100240004063,0.0989199995995,1.0133441616340915,1.3168439844339892,False,False
fp16,257,64,vector_split,2,vector_path,32,0.0641600012779,0.0514800012112,1.2463092418098338,19.76309197965625,True,False
fp16,257,64,scalar_fused,2,control,32,0.0916519999504,0.0912519991398,1.0043834744922924,0.4364343503867595,False,False
fp16,257,64,vector_fused,2,vector_path,32,0.0581200003624,0.0449279993773,1.2936253821211834,22.69786803655011,True,False
fp16,257,64,quant_only,2,control,32,0.0344639986753,0.0346199989319,0.9954939265911918,-0.4526470014978423,False,False
fp16,257,128,scalar_transform,2,control,32,0.140315997601,0.137707996368,1.0189386332078392,1.8586627879852098,False,False
fp16,257,128,vector_transform,2,vector_path,32,0.0501720011234,0.0243039995432,2.064351632093311,51.558640279419265,True,False
fp16,257,128,scalar_split,2,control,32,0.202203989029,0.199951994419,1.0112626764066226,1.1137241262223676,False,False
fp16,257,128,vector_split,2,vector_path,32,0.112251996994,0.0865559995174,1.2968713621224421,22.891349966783643,True,False
fp16,257,128,scalar_fused,2,control,32,0.188675999641,0.187355995178,1.0070454348778426,0.6996144000888301,False,False
fp16,257,128,vector_fused,2,vector_path,32,0.105055999756,0.0790080010891,1.3296881114296866,24.79439415873279,True,False
fp16,257,128,quant_only,2,control,32,0.0625519990921,0.0625479996204,1.0000639424397946,0.006393835142046075,False,False
fp16,257,256,scalar_transform,2,control,32,0.301448011398,0.296199989319,1.0177178334511958,1.7409377008863598,False,False
fp16,257,256,vector_transform,2,vector_path,32,0.0920319974422,0.0398039996624,2.3121293895783057,56.749825312225134,True,False
fp16,257,256,scalar_split,2,control,32,0.419479990005,0.414292001724,1.0125225402841744,1.236766569232109,False,False
fp16,257,256,vector_split,2,vector_path,32,0.210247993469,0.158039999008,1.330346714684282,24.831625548282723,True,False
fp16,257,256,scalar_fused,2,control,32,0.395767998695,0.394287991524,1.0037536196963024,0.3739582724930143,False,False
fp16,257,256,vector_fused,2,vector_path,32,0.201155996323,0.149487996101,1.3456331047951908,25.685538172591045,True,False
fp16,257,256,quant_only,2,control,32,0.118783998489,0.118739998341,1.0003705587722314,0.03704215092916263,False,False
fp16,4096,16,scalar_transform,2,control,32,0.229047989845,0.224864006042,1.0186067298036954,1.8266843580820609,False,False
fp16,4096,16,vector_transform,2,vector_path,32,0.164227998257,0.111212003231,1.476711087704083,32.28194679876411,True,False
fp16,4096,16,scalar_split,2,control,32,0.391283988953,0.38691599369,1.011289260031209,1.1163235364390647,False,False
fp16,4096,16,vector_split,2,vector_path,32,0.326552009583,0.274004006386,1.1917782294138197,16.09177149578798,True,False
fp16,4096,16,scalar_fused,2,control,32,0.327239990234,0.326096010208,1.0035081080117183,0.3495844212628159,False,False
fp16,4096,16,vector_fused,2,vector_path,32,0.271691989899,0.224659991264,1.209347460446272,17.31077852257768,True,False
fp16,4096,16,quant_only,2,control,32,0.162704002857,0.16210000515,1.003726080739116,0.3712248601104551,False,False
fp16,4096,64,scalar_transform,2,control,32,0.907528018951,0.892288017273,1.0170796888257856,1.6792871800934275,False,False
fp16,4096,64,vector_transform,2,vector_path,32,0.334179997444,0.136852002144,2.441907989715527,59.04841606597567,True,False
fp16,4096,64,scalar_split,2,control,32,1.3557559967,1.33936796188,1.0122356479223207,1.208774651182765,False,False
fp16,4096,64,vector_split,2,vector_path,32,0.782539987564,0.584187984467,1.3395345477329046,25.34720349747977,True,False
fp16,4096,64,scalar_fused,2,control,32,1.26224002838,1.25496397018,1.0057978223860533,0.5764401410513278,False,False
fp16,4096,64,vector_fused,2,vector_path,32,0.728367996216,0.544320011139,1.338124598233815,25.268543652818593,True,False
fp16,4096,64,quant_only,2,control,32,0.448979997635,0.447595977783,1.0030921186085167,0.3082586884249539,False,False
fp16,4096,128,scalar_transform,2,control,32,1.95352401733,1.9192440033,1.0178612067934343,1.7547782226323736,False,False
fp16,4096,128,vector_transform,2,vector_path,32,0.552415990829,0.16606400013,3.3265246555337202,69.93859647676184,True,False
fp16,4096,128,scalar_split,2,control,32,2.79720401764,2.76057605743,1.0132682307779266,1.3094490061866542,False,False
fp16,4096,128,vector_split,2,vector_path,32,1.39646396637,1.00772399902,1.3857603547479718,27.837450640455803,True,False
fp16,4096,128,scalar_fused,2,control,32,2.63512001038,2.62152004242,1.0051878176553806,0.5161043104841019,False,False
fp16,4096,128,vector_fused,2,vector_path,32,1.32527999878,0.957847976685,1.3836016059319134,27.724859835902095,True,False
fp16,4096,128,quant_only,2,control,32,0.844375991821,0.842136001587,1.0026598913118294,0.26528350589045036,False,False
fp16,4096,256,scalar_transform,2,control,32,4.23562393188,4.161951828,1.017701335076577,1.7393447828428954,False,False
fp16,4096,256,vector_transform,2,vector_path,32,0.989995956421,0.224008011818,4.419466734186914,77.37283568027628,True,False
fp16,4096,256,scalar_split,2,control,32,5.86692810059,5.78891181946,1.0134768473874036,1.329763716077489,False,False
fp16,4096,256,vector_split,2,vector_path,32,2.62168807983,1.85061607361,1.416656926963716,29.411279402468022,True,False
