variant,round,dtype,M,N,block_dim,vector_split_median_ms,vector_fused_median_ms,split_over_fused_ratio,latency_reduction_pct
new,3,fp16,17,16,32,0.0141920000315,0.00839200019836,1.6911343775079342,40.868093434798126
new,3,fp16,17,64,32,0.0185519993305,0.0132919996977,1.3957267343084705,28.35273729313052
new,3,fp16,17,128,32,0.0271759986877,0.0218439996243,1.2440944495104507,19.62025066557459
new,3,fp16,17,256,32,0.0460480004549,0.0403200000525,1.1420635018586722,12.439194635628265
new,3,fp16,257,16,32,0.0288960009813,0.0204999998212,1.4095610357721715,29.055927723471015
new,3,fp16,257,64,32,0.0511839985847,0.0451279997826,1.1341960386295473,11.83182043129836
new,3,fp16,257,128,32,0.0863359987736,0.0790080010891,1.0927500706698803,8.487766156173514
new,3,fp16,257,256,32,0.157115995884,0.149616003036,1.0501282797014393,4.773538687644058
new,3,fp16,4096,16,32,0.27317199707,0.224616003036,1.2161733508641313,17.77487976615612
new,3,fp16,4096,64,32,0.584144020081,0.544131994247,1.0735336761246155,6.84968508766926
new,3,fp16,4096,128,32,1.00916004181,0.95789604187,1.0535172896632108,5.079868188999473
new,3,fp16,4096,256,32,1.84934005737,1.79745998383,1.028862992226094,2.805329032551221
new,3,fp16,16384,16,32,1.03499603271,0.870528030396,1.188929013852873,15.890689153982782
new,3,fp16,16384,64,32,2.28857192993,2.1453119278,1.066778168840422,6.259798971421526
new,3,fp16,16384,128,32,3.97915611267,3.78490791321,1.0513217768871046,4.881643091144272
new,3,fp16,16384,256,32,7.30113220215,7.10574417114,1.0274971947067233,2.6761333119329542
new,3,bf16,1,16,32,0.0136680006981,0.00795200020075,1.718812921661004,41.82031171643549
new,3,bf16,1,64,32,0.01660400033,0.011819999665,1.4047378003880848,28.812337809680105
new,3,bf16,1,128,32,0.024660000205,0.0203160002828,1.2138216116229203,17.615571314225793
new,3,bf16,1,256,32,0.0437880009413,0.0391000002623,1.1198977147711209,10.706130853711498
new,3,bf16,17,16,32,0.0140959993005,0.0082800000906,1.7024153558286435,41.25992833791996
new,3,bf16,17,64,32,0.0185800001025,0.0132280007005,1.4045962442228856,28.80516346864751
new,3,bf16,17,128,32,0.0273360013962,0.0218679994345,1.2500458250914994,20.00293269834303
new,3,bf16,17,256,32,0.0461120009422,0.0404119998217,1.1410472420481226,12.361209672173587
new,3,bf16,257,16,32,0.0289039999247,0.0205400004983,1.4072054149702795,28.93716941665405
new,3,bf16,257,64,32,0.0515439987183,0.0450480014086,1.1442016761360665,12.60281986502861
new,3,bf16,257,128,32,0.0860239982605,0.078991997242,1.089021689082715,8.17446428984331
new,3,bf16,257,256,32,0.157532000542,0.14964799881,1.052683642913327,5.004698540534337
new,3,bf16,4096,16,32,0.273327994347,0.224620008469,1.216846158140548,17.82034291597787
new,3,bf16,4096,64,32,0.584779977798,0.543819999695,1.075318999165114,7.004340035244636
new,3,bf16,4096,128,32,1.01054401398,0.957855987549,1.0550062087786496,5.213827968114872
new,3,bf16,4096,256,32,1.85125598907,1.79939594269,1.0288208087779014,2.801343881461395
new,3,bf16,16384,16,32,1.03543195724,0.869659996033,1.1906169790069423,16.009932864045847
new,3,bf16,16384,64,32,2.29066390991,2.14345607758,1.0686777927804336,6.426426491164482
new,3,bf16,16384,128,32,3.98458404541,3.78523597717,1.052664634237425,5.002983146249277
new,3,bf16,16384,256,32,7.30992431641,7.11242828369,1.0277677362558286,2.7017520862239657
