mode,dim,rows,dtype,scale,activated,round,original128_ms,original256_ms,auto_ms,baseline_ms,reduction_percent
hadamard,4,4096,fp16,1.0,True,2,0.0015150999650359153,0.0012968000024557113,0.000926399976015091,0.0012968000024557113,28.56261765416448
hadamard_int4,1,1,fp16,1.0,True,2,0.0010639999993145466,0.0010615999810397625,0.0009999999776482583,0.0010615999810397625,5.802562593414084
hadamard_int4,2,16384,fp16,1.0,True,2,0.003226400166749954,0.003085600025951862,0.0011624000035226345,0.003085600025951862,62.32823458173095
hadamard_int4,1,1,bf16,1.0,True,2,0.0010639499872922898,0.0010599999688565731,0.0009983999654650689,0.0010599999688565731,5.811321245410273
hadamard_int4,8,16384,bf16,1.0,True,2,0.0032567501068115233,0.0031814750283956526,0.0015064000152051448,0.0031814750283956526,52.65089300528665
hadamard,4,16384,bf16,1.0,True,2,0.0029270749539136885,0.0021191999316215516,0.001107999961823225,0.0021191999316215516,47.71611940476919
hadamard_int4,4,257,bf16,1.0,True,2,0.0011896000243723393,0.001143999956548214,0.0010582500137388707,0.001143999956548214,7.495624656147393
hadamard_int4,2,2,fp16,1.0,True,2,0.0010991999879479408,0.0010967999696731567,0.0010263999924063683,0.0010967999696731567,6.418670606616395
hadamard,8,4097,fp16,1.0,True,2,0.0015296000055968761,0.001328799966722727,0.0010424000211060047,0.001328799966722727,21.553277603030185
hadamard_int4,1,16384,fp16,1.0,True,2,0.0031415998935699465,0.002940000034868717,0.000976799987256527,0.002940000034868717,66.77551103157913
hadamard_int4,16,4096,fp16,1.0,False,2,0.0017920000478625297,0.0016327999532222749,0.0017910750582814216,0.0017920000478625297,0.05161772078139393
hadamard_int4,64,65,bf16,1.0,False,2,0.001089600007981062,0.001116000022739172,0.0010912000201642514,0.001089600007981062,-0.14684399517892466
hadamard,2,16384,bf16,1.0,True,2,0.0029215749353170397,0.0021104000508785246,0.0010280000045895577,0.0021104000508785246,51.28885615020631
hadamard,16,4097,bf16,1.0,True,2,0.0015391499735414981,0.0013207250274717807,0.0011382999829947949,0.0013207250274717807,13.812492432750823
hadamard_int4,4,4096,bf16,1.0,True,2,0.0017799999564886092,0.0016079999506473542,0.001107999961823225,0.0016079999506473542,31.09452762251873
hadamard_int4,4,16384,fp16,1.0,True,2,0.003222399950027466,0.0031120000407099725,0.0012943999841809272,0.0031120000407099725,58.40617071824901
hadamard_int4,1,4096,fp16,1.0,True,2,0.0017263999208807946,0.0015296000055968761,0.0009367999620735646,0.0015296000055968761,38.75523282912064
hadamard,2,4096,bf16,1.0,True,2,0.0015119999647140504,0.0012927999719977378,0.0008848000317811966,0.0012927999719977378,31.559401999836613
hadamard_int4,16,65,fp16,1.0,False,2,0.0011407749727368355,0.0011567999608814716,0.0011416000314056873,0.0011407749727368355,-0.07232440126840878
hadamard,1,16384,bf16,1.0,True,2,0.002925474941730499,0.0020800000056624413,0.0009072000160813331,0.0020800000056624413,56.38461473020973
hadamard_int4,2,4096,fp16,1.0,True,2,0.0017823999747633933,0.0015839999541640282,0.0010607999749481678,0.0015839999541640282,33.03030267396595
hadamard,8,16384,fp16,1.0,True,2,0.0029335999861359596,0.002155900001525879,0.001307199988514185,0.002155900001525879,39.36639048244401
hadamard,16,4096,fp16,1.0,True,2,0.001541600003838539,0.0013232000172138214,0.0011272000148892403,0.0013232000172138214,14.81257555734362
hadamard_int4,2,2,bf16,1.0,True,2,0.0010983999818563461,0.001095999963581562,0.001027199998497963,0.001095999963581562,6.277369285558299
hadamard,16,4097,fp16,1.0,True,2,0.0015432000160217284,0.0013223749585449696,0.0011487999930977822,0.0013223749585449696,13.126002146787075
