phase,run_index,dtype,dim,rows,normalized,shape,scale,scope,method,group,event_interval_ms,calls_per_interval,per_call_us,per_call_ms
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread64,2,1.3159040212631226,200,6.579520106315613,0.006579520106315613
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread64,3,1.3209600448608398,200,6.604800224304199,0.006604800224304199
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread64,4,1.3230079412460327,200,6.615039706230164,0.006615039706230163
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread64,5,1.3424639701843262,200,6.712319850921631,0.0067123198509216305
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread128,1,1.32915198802948,200,6.6457599401474,0.0066457599401474
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread128,2,1.3363200426101685,200,6.681600213050842,0.006681600213050842
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread128,3,1.3127679824829102,200,6.563839912414551,0.006563839912414551
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread128,4,1.3332480192184448,200,6.666240096092224,0.006666240096092224
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread128,5,1.327232003211975,200,6.6361600160598755,0.006636160016059875
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread256,1,1.3312000036239624,200,6.656000018119812,0.006656000018119812
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread256,2,1.3189120292663574,200,6.594560146331787,0.006594560146331787
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread256,3,1.3445119857788086,200,6.722559928894043,0.006722559928894043
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread256,4,1.3127360343933105,200,6.563680171966553,0.006563680171966553
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,thread256,5,1.3312000036239624,200,6.656000018119812,0.006656000018119812
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,dao,1,2.9818880558013916,200,14.909440279006958,0.014909440279006958
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,dao,2,2.968575954437256,200,14.84287977218628,0.01484287977218628
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,dao,3,2.9573121070861816,200,14.786560535430908,0.014786560535430909
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,dao,4,2.974720001220703,200,14.873600006103516,0.014873600006103516
screen,3,bf16,256,1,True,"[1, 256]",0.0625,eager,dao,5,2.9510719776153564,200,14.755359888076782,0.014755359888076781
screen,3,fp16,64,64,True,"[64, 64]",0.125,graph,thread32,1,1.4305280447006226,1280,1.1176000349223614,0.0011176000349223613
screen,3,fp16,64,64,True,"[64, 64]",0.125,graph,thread32,2,1.3915519714355469,1280,1.087149977684021,0.001087149977684021
screen,3,fp16,64,64,True,"[64, 64]",0.125,graph,thread32,3,1.3895679712295532,1280,1.0855999775230885,0.0010855999775230885
screen,3,fp16,64,64,True,"[64, 64]",0.125,graph,thread32,4,1.3905919790267944,1280,1.0863999836146832,0.0010863999836146832
screen,3,fp16,64,64,True,"[64, 64]",0.125,graph,thread32,5,1.3895679712295532,1280,1.0855999775230885,0.0010855999775230885
