dtype,batch,seq,heads,dim,rows,method,group,order,repeats,kernel_us,logical_io_bytes,logical_GBs,input_working_set_bytes,seed,input_read_only,scale,kernel_ms
fp16,1,257,1,64,257,shuffle32_transform,1,3,100,8.82102847099,65792,7.4585407151,32896,2909,true,1,0.00882102847099
fp16,1,257,1,64,257,baseline_split,1,4,100,71.0587453842,107940,1.51902484932,32896,2909,true,1,0.0710587453842
fp16,1,257,1,64,257,control_optimized_split,1,5,100,64.4550848007,107940,1.67465453399,32896,2909,true,1,0.0644550848007
fp16,1,257,1,64,257,optimized_split,1,6,100,34.7309732437,107940,3.10788872061,32896,2909,true,1,0.0347309732437
fp16,1,257,1,64,257,control_shuffle32_split,1,7,100,102.770738602,107940,1.05029896125,32896,2909,true,1,0.102770738602
fp16,1,257,1,64,257,shuffle32_split,1,8,100,39.0797710419,107940,2.76204279407,32896,2909,true,1,0.0390797710419
fp16,1,257,1,64,257,baseline_fused,1,9,100,65.9791994095,42148,0.638807387438,32896,2909,true,1,0.0659791994095
fp16,1,257,1,64,257,control_optimized_fused,1,10,100,59.2678880692,42148,0.7111439495,32896,2909,true,1,0.0592678880692
fp16,1,257,1,64,257,optimized_fused,1,11,100,29.2592000961,42148,1.44050417857,32896,2909,true,1,0.0292592000961
fp16,1,257,1,64,257,control_shuffle32_fused,1,12,100,96.69257164,42148,0.435896980348,32896,2909,true,1,0.09669257164
fp16,1,257,1,64,257,shuffle32_fused,1,13,100,33.1940579414,42148,1.26974532835,32896,2909,true,1,0.0331940579414
fp16,1,257,1,64,257,baseline_transform,1,14,100,9.49554264545,65792,6.92872460865,32896,2909,true,1,0.00949554264545
fp16,1,257,1,64,257,optimized_transform,2,0,100,9.51885700226,65792,6.91175421423,32896,2909,true,1,0.00951885700226
fp16,1,257,1,64,257,control_shuffle32_transform,2,1,100,8.84320020676,65792,7.43984060767,32896,2909,true,1,0.00884320020676
fp16,1,257,1,64,257,shuffle32_transform,2,2,100,8.92022848129,65792,7.3755958312,32896,2909,true,1,0.00892022848129
fp16,1,257,1,64,257,baseline_split,2,3,100,71.0779428482,107940,1.51861457542,32896,2909,true,1,0.0710779428482
fp16,1,257,1,64,257,control_optimized_split,2,4,100,64.4582843781,107940,1.67457140756,32896,2909,true,1,0.0644582843781
fp16,1,257,1,64,257,optimized_split,2,5,100,34.7138285637,107940,3.10942366389,32896,2909,true,1,0.0347138285637
fp16,1,257,1,64,257,control_shuffle32_split,2,6,100,102.747430801,107940,1.05053721692,32896,2909,true,1,0.102747430801
fp16,1,257,1,64,257,shuffle32_split,2,7,100,39.0742850304,107940,2.7624305836,32896,2909,true,1,0.0390742850304
fp16,1,257,1,64,257,baseline_fused,2,8,100,65.984454155,42148,0.6387565153,32896,2909,true,1,0.065984454155
fp16,1,257,1,64,257,control_optimized_fused,2,9,100,59.3003463745,42148,0.710754701732,32896,2909,true,1,0.0593003463745
fp16,1,257,1,64,257,optimized_fused,2,10,100,29.301712513,42148,1.43841422174,32896,2909,true,1,0.029301712513
fp16,1,257,1,64,257,control_shuffle32_fused,2,11,100,96.693944931,42148,0.435890789543,32896,2909,true,1,0.096693944931
fp16,1,257,1,64,257,shuffle32_fused,2,12,100,33.2093715668,42148,1.2691598188,32896,2909,true,1,0.0332093715668
fp16,1,257,1,64,257,baseline_transform,2,13,100,9.5490282774,65792,6.8899157159,32896,2909,true,1,0.0095490282774
fp16,1,257,1,64,257,control_optimized_transform,2,14,100,9.69988584518,65792,6.78276023554,32896,2909,true,1,0.00969988584518
fp16,1,257,1,64,257,control_shuffle32_transform,3,0,100,8.78034293652,65792,7.49310140568,32896,2909,true,1,0.00878034293652
fp16,1,257,1,64,257,shuffle32_transform,3,1,100,8.79657149315,65792,7.47927758573,32896,2909,true,1,0.00879657149315
fp16,1,257,1,64,257,baseline_split,3,2,100,71.0198831558,107940,1.51985606289,32896,2909,true,1,0.0710198831558
fp16,1,257,1,64,257,control_optimized_split,3,3,100,64.4114303589,107940,1.67578952056,32896,2909,true,1,0.0644114303589
fp16,1,257,1,64,257,optimized_split,3,4,100,34.743771553,107940,3.10674389035,32896,2909,true,1,0.034743771553
fp16,1,257,1,64,257,control_shuffle32_split,3,5,100,102.096681595,107940,1.05723318637,32896,2909,true,1,0.102096681595
fp16,1,257,1,64,257,shuffle32_split,3,6,100,39.6532559395,107940,2.7220967722,32896,2909,true,1,0.0396532559395
fp16,1,257,1,64,257,baseline_fused,3,7,100,65.9437704086,42148,0.639150593586,32896,2909,true,1,0.0659437704086
fp16,1,257,1,64,257,control_optimized_fused,3,8,100,59.30788517,42148,0.710664355662,32896,2909,true,1,0.05930788517
fp16,1,257,1,64,257,optimized_fused,3,9,100,29.352915287,42148,1.43590507409,32896,2909,true,1,0.029352915287
fp16,1,257,1,64,257,control_shuffle32_fused,3,10,100,96.6969108582,42148,0.435877419723,32896,2909,true,1,0.0966969108582
fp16,1,257,1,64,257,shuffle32_fused,3,11,100,33.2185125351,42148,1.26881057529,32896,2909,true,1,0.0332185125351
fp16,1,257,1,64,257,baseline_transform,3,12,100,9.60777163506,65792,6.84778973721,32896,2909,true,1,0.00960777163506
fp16,1,257,1,64,257,control_optimized_transform,3,13,100,9.56068575382,65792,6.88151474633,32896,2909,true,1,0.00956068575382
fp16,1,257,1,64,257,optimized_transform,3,14,100,9.52914297581,65792,6.90429350961,32896,2909,true,1,0.00952914297581
fp16,1,257,1,64,257,shuffle32_transform,4,0,100,8.84548604488,65792,7.43791801447,32896,2909,true,1,0.00884548604488
fp16,1,257,1,64,257,baseline_split,4,1,100,71.0011434555,107940,1.52025720639,32896,2909,true,1,0.0710011434555
fp16,1,257,1,64,257,control_optimized_split,4,2,100,65.6175994873,107940,1.64498550455,32896,2909,true,1,0.0656175994873
fp16,1,257,1,64,257,optimized_split,4,3,100,34.7309732437,107940,3.10788872061,32896,2909,true,1,0.0347309732437
fp16,1,257,1,64,257,control_shuffle32_split,4,4,100,102.111768723,107940,1.05707697898,32896,2909,true,1,0.102111768723
fp16,1,257,1,64,257,shuffle32_split,4,5,100,39.1165733337,107940,2.75944416396,32896,2909,true,1,0.0391165733337
fp16,1,257,1,64,257,baseline_fused,4,6,100,65.9739398956,42148,0.638858313854,32896,2909,true,1,0.0659739398956
fp16,1,257,1,64,257,control_optimized_fused,4,7,100,59.3097114563,42148,0.710642472625,32896,2909,true,1,0.0593097114563
fp16,1,257,1,64,257,optimized_fused,4,8,100,29.2964577675,42148,1.43867222224,32896,2909,true,1,0.0292964577675
